id,x,y,z,grainId,colorRGB,energy
154,5,4,0,9,0 101 255,3
155,5,5,0,14,255 0 102,3
156,5,6,0,14,255 0 102,0
157,5,7,0,14,255 0 102,0
158,5,8,0,14,255 0 102,0
159,5,9,0,14,255 0 102,0
160,5,10,0,14,255 0 102,0
161,5,11,0,14,255 0 102,0
162,5,12,0,14,255 0 102,0
163,5,13,0,14,255 0 102,1
164,5,14,0,14,255 0 102,3
165,5,15,0,2,255 204 0,5
166,5,16,0,12,204 0 255,4
167,5,17,0,12,204 0 255,1
168,5,18,0,12,204 0 255,0
169,5,19,0,12,204 0 255,0
170,5,20,0,12,204 0 255,0
171,5,21,0,12,204 0 255,0
172,5,22,0,12,204 0 255,0
173,5,23,0,12,204 0 255,0
174,5,24,0,12,204 0 255,0
175,5,25,0,12,204 0 255,0
176,5,26,0,12,204 0 255,0
177,5,27,0,12,204 0 255,0
178,5,28,0,12,204 0 255,3
179,5,29,0,9,0 101 255,5
180,6,0,0,4,101 255 0,4
181,6,1,0,9,0 101 255,4
182,6,2,0,9,0 101 255,3
183,6,3,0,9,0 101 255,3
184,6,4,0,9,0 101 255,5
185,6,5,0,14,255 0 102,3
186,6,6,0,14,255 0 102,0
187,6,7,0,14,255 0 102,0
188,6,8,0,14,255 0 102,0
189,6,9,0,14,255 0 102,0
190,6,10,0,14,255 0 102,0
191,6,11,0,14,255 0 102,0
192,6,12,0,14,255 0 102,1
193,6,13,0,14,255 0 102,3
194,6,14,0,2,255 204 0,3
195,6,15,0,2,255 204 0,2
196,6,16,0,2,255 204 0,4
197,6,17,0,12,204 0 255,2
198,6,18,0,12,204 0 255,0
199,6,19,0,12,204 0 255,0
200,6,20,0,12,204 0 255,0
201,6,21,0,12,204 0 255,0
202,6,22,0,12,204 0 255,0
203,6,23,0,12,204 0 255,0
204,6,24,0,12,204 0 255,0
205,6,25,0,12,204 0 255,0
206,6,26,0,12,204 0 255,0
207,6,27,0,12,204 0 255,0
208,6,28,0,12,204 0 255,3
209,6,29,0,4,101 255 0,5
210,7,0,0,4,101 255 0,1
211,7,1,0,4,101 255 0,2
212,7,2,0,4,101 255 0,3
213,7,3,0,4,101 255 0,3
214,7,4,0,4,101 255 0,5
215,7,5,0,14,255 0 102,3
216,7,6,0,14,255 0 102,0
217,7,7,0,14,255 0 102,0
218,7,8,0,14,255 0 102,0
219,7,9,0,14,255 0 102,0
220,7,10,0,14,255 0 102,0
221,7,11,0,14,255 0 102,1
222,7,12,0,14,255 0 102,3
223,7,13,0,2,255 204 0,3
224,7,14,0,2,255 204 0,1
225,7,15,0,2,255 204 0,0
226,7,16,0,2,255 204 0,3
227,7,17,0,12,204 0 255,3
228,7,18,0,12,204 0 255,0
229,7,19,0,12,204 0 255,0
230,7,20,0,12,204 0 255,0
231,7,21,0,12,204 0 255,0
232,7,22,0,12,204 0 255,0
233,7,23,0,12,204 0 255,0
234,7,24,0,12,204 0 255,0
235,7,25,0,12,204 0 255,0
236,7,26,0,12,204 0 255,0
237,7,27,0,12,204 0 255,0
238,7,28,0,12,204 0 255,2
239,7,29,0,4,101 255 0,4
240,8,0,0,4,101 255 0,2
241,8,1,0,4,101 255 0,1
242,8,2,0,4,101 255 0,0
243,8,3,0,4,101 255 0,0
244,8,4,0,4,101 255 0,2
245,8,5,0,14,255 0 102,4
246,8,6,0,14,255 0 102,1
247,8,7,0,14,255 0 102,0
248,8,8,0,14,255 0 102,0
249,8,9,0,14,255 0 102,0
250,8,10,0,14,255 0 102,1
251,8,11,0,14,255 0 102,3
252,8,12,0,2,255 204 0,3
253,8,13,0,2,255 204 0,1
254,8,14,0,2,255 204 0,0
255,8,15,0,2,255 204 0,0
256,8,16,0,2,255 204 0,3
257,8,17,0,12,204 0 255,3
258,8,18,0,12,204 0 255,0
259,8,19,0,12,204 0 255,0
260,8,20,0,12,204 0 255,0
261,8,21,0,12,204 0 255,0
262,8,22,0,12,204 0 255,0
263,8,23,0,12,204 0 255,0
264,8,24,0,12,204 0 255,0
265,8,25,0,12,204 0 255,0
266,8,26,0,12,204 0 255,0
267,8,27,0,12,204 0 255,0
268,8,28,0,12,204 0 255,1
269,8,29,0,12,204 0 255,4
270,9,0,0,7,0 255 203,4
271,9,1,0,4,101 255 0,3
272,9,2,0,4,101 255 0,1
273,9,3,0,4,101 255 0,0
274,9,4,0,4,101 255 0,1
275,9,5,0,4,101 255 0,3
276,9,6,0,14,255 0 102,3
277,9,7,0,14,255 0 102,2
278,9,8,0,14,255 0 102,2
279,9,9,0,14,255 0 102,3
280,9,10,0,14,255 0 102,4
281,9,11,0,2,255 204 0,3
282,9,12,0,2,255 204 0,1
283,9,13,0,2,255 204 0,0
284,9,14,0,2,255 204 0,0
285,9,15,0,2,255 204 0,0
286,9,16,0,2,255 204 0,3
287,9,17,0,12,204 0 255,3
288,9,18,0,12,204 0 255,0
289,9,19,0,12,204 0 255,0
290,9,20,0,12,204 0 255,0
291,9,21,0,12,204 0 255,0
292,9,22,0,12,204 0 255,0
293,9,23,0,12,204 0 255,0
294,9,24,0,12,204 0 255,0
295,9,25,0,12,204 0 255,0
296,9,26,0,12,204 0 255,0
297,9,27,0,12,204 0 255,0
298,9,28,0,12,204 0 255,1
299,9,29,0,12,204 0 255,4
300,10,0,0,7,0 255 203,1
301,10,1,0,7,0 255 203,3
302,10,2,0,4,101 255 0,3
303,10,3,0,4,101 255 0,1
304,10,4,0,4,101 255 0,0
305,10,5,0,4,101 255 0,1
306,10,6,0,4,101 255 0,4
307,10,7,0,14,255 0 102,5
308,10,8,0,2,255 204 0,4
309,10,9,0,2,255 204 0,3
310,10,10,0,2,255 204 0,2
311,10,11,0,2,255 204 0,1
312,10,12,0,2,255 204 0,0
313,10,13,0,2,255 204 0,0
314,10,14,0,2,255 204 0,0
315,10,15,0,2,255 204 0,0
316,10,16,0,2,255 204 0,3
317,10,17,0,12,204 0 255,3
318,10,18,0,12,204 0 255,0
319,10,19,0,12,204 0 255,0
320,10,20,0,12,204 0 255,0
321,10,21,0,12,204 0 255,0
322,10,22,0,12,204 0 255,0
323,10,23,0,12,204 0 255,0
324,10,24,0,12,204 0 255,0
325,10,25,0,12,204 0 255,0
326,10,26,0,12,204 0 255,0
327,10,27,0,12,204 0 255,0
328,10,28,0,12,204 0 255,2
329,10,29,0,7,0 255 203,4
330,11,0,0,7,0 255 203,0
331,11,1,0,7,0 255 203,1
332,11,2,0,7,0 255 203,3
333,11,3,0,4,101 255 0,3
334,11,4,0,4,101 255 0,1
335,11,5,0,4,101 255 0,0
336,11,6,0,4,101 255 0,3
337,11,7,0,2,255 204 0,4
338,11,8,0,2,255 204 0,1
339,11,9,0,2,255 204 0,0
340,11,10,0,2,255 204 0,0
341,11,11,0,2,255 204 0,0
342,11,12,0,2,255 204 0,0
343,11,13,0,2,255 204 0,0
344,11,14,0,2,255 204 0,0
345,11,15,0,2,255 204 0,0
346,11,16,0,2,255 204 0,2
347,11,17,0,12,204 0 255,4
348,11,18,0,12,204 0 255,1
349,11,19,0,12,204 0 255,0
350,11,20,0,12,204 0 255,0
351,11,21,0,12,204 0 255,0
352,11,22,0,12,204 0 255,0
353,11,23,0,12,204 0 255,0
