id,x,y,z,grainId,colorRGB,energy
154,0,5,4,9,0 255 178,0
155,0,5,5,9,0 255 178,0
156,0,5,6,9,0 255 178,1
157,0,5,7,6,50 255 0,1
158,0,5,8,6,50 255 0,0
159,0,5,9,6,50 255 0,0
160,0,5,10,6,50 255 0,0
161,0,5,11,6,50 255 0,0
162,0,5,12,6,50 255 0,0
163,0,5,13,6,50 255 0,0
164,0,5,14,6,50 255 0,0
165,0,5,15,6,50 255 0,0
166,0,5,16,6,50 255 0,0
167,0,5,17,6,50 255 0,0
168,0,5,18,6,50 255 0,0
169,0,5,19,6,50 255 0,0
170,0,5,20,6,50 255 0,0
171,0,5,21,6,50 255 0,0
172,0,5,22,6,50 255 0,0
173,0,5,23,6,50 255 0,2
174,0,5,24,13,0 25 255,1
175,0,5,25,13,0 25 255,0
176,0,5,26,13,0 25 255,0
177,0,5,27,13,0 25 255,0
178,0,5,28,13,0 25 255,0
179,0,5,29,13,0 25 255,1
180,0,6,0,9,0 255 178,0
181,0,6,1,9,0 255 178,0
182,0,6,2,9,0 255 178,0
183,0,6,3,9,0 255 178,0
184,0,6,4,9,0 255 178,0
185,0,6,5,9,0 255 178,0
186,0,6,6,9,0 255 178,1
187,0,6,7,6,50 255 0,1
188,0,6,8,6,50 255 0,0
189,0,6,9,6,50 255 0,0
190,0,6,10,6,50 255 0,0
191,0,6,11,6,50 255 0,0
192,0,6,12,6,50 255 0,0
193,0,6,13,6,50 255 0,0
194,0,6,14,6,50 255 0,0
195,0,6,15,6,50 255 0,0
196,0,6,16,6,50 255 0,0
197,0,6,17,6,50 255 0,0
198,0,6,18,6,50 255 0,0
199,0,6,19,6,50 255 0,0
200,0,6,20,6,50 255 0,0
201,0,6,21,6,50 255 0,0
202,0,6,22,6,50 255 0,0
203,0,6,23,6,50 255 0,1
204,0,6,24,13,0 25 255,1
205,0,6,25,13,0 25 255,0
206,0,6,26,13,0 25 255,0
207,0,6,27,13,0 25 255,0
208,0,6,28,13,0 25 255,0
209,0,6,29,13,0 25 255,1
210,0,7,0,9,0 255 178,0
211,0,7,1,9,0 255 178,0
212,0,7,2,9,0 255 178,0
213,0,7,3,9,0 255 178,0
214,0,7,4,9,0 255 178,0
