id,x,y,z,grainId,colorRGB,energy
154,0,3,4,7,153 255 0,8
155,0,3,5,7,153 255 0,1
156,0,3,6,7,153 255 0,0
157,0,3,7,7,153 255 0,0
158,0,3,8,7,153 255 0,0
159,0,3,9,7,153 255 0,0
160,0,3,10,7,153 255 0,0
161,0,3,11,7,153 255 0,0
162,0,3,12,7,153 255 0,0
163,0,3,13,7,153 255 0,0
164,0,3,14,7,153 255 0,7
165,0,3,15,22,102 0 255,11
166,0,3,16,22,102 0 255,2
167,0,3,17,22,102 0 255,0
168,0,3,18,22,102 0 255,0
169,0,3,19,22,102 0 255,0
170,0,3,20,22,102 0 255,0
171,0,3,21,22,102 0 255,0
172,0,3,22,22,102 0 255,0
173,0,3,23,22,102 0 255,0
174,0,3,24,22,102 0 255,0
175,0,3,25,22,102 0 255,0
176,0,3,26,22,102 0 255,0
177,0,3,27,22,102 0 255,3
178,0,3,28,22,102 0 255,9
179,0,3,29,27,255 0 152,9
180,0,3,30,27,255 0 152,3
181,0,3,31,27,255 0 152,0
182,0,3,32,27,255 0 152,0
183,0,3,33,27,255 0 152,0
184,0,3,34,27,255 0 152,0
185,0,3,35,27,255 0 152,0
186,0,3,36,27,255 0 152,0
187,0,3,37,27,255 0 152,0
188,0,3,38,27,255 0 152,3
189,0,3,39,27,255 0 152,9
190,0,3,40,17,0 152 255,9
191,0,3,41,17,0 152 255,3
192,0,3,42,17,0 152 255,0
193,0,3,43,17,0 152 255,3
194,0,3,44,17,0 152 255,12
195,0,3,45,25,255 0 255,6
196,0,3,46,25,255 0 255,0
197,0,3,47,25,255 0 255,0
198,0,3,48,25,255 0 255,9
199,0,3,49,13,0 255 153,9
200,0,4,0,13,0 255 153,0
201,0,4,1,13,0 255 153,0
202,0,4,2,13,0 255 153,5
203,0,4,3,7,153 255 0,13
204,0,4,4,7,153 255 0,4
205,0,4,5,7,153 255 0,0
206,0,4,6,7,153 255 0,0
207,0,4,7,7,153 255 0,0
208,0,4,8,7,153 255 0,0
209,0,4,9,7,153 255 0,0
210,0,4,10,7,153 255 0,0
211,0,4,11,7,153 255 0,0
212,0,4,12,7,153 255 0,0
213,0,4,13,7,153 255 0,0
214,0,4,14,7,153 255 0,9
215,0,4,15,22,102 0 255,9
216,0,4,16,22,102 0 255,0
217,0,4,17,22,102 0 255,0
218,0,4,18,22,102 0 255,0
219,0,4,19,22,102 0 255,0
220,0,4,20,22,102 0 255,0
221,0,4,21,22,102 0 255,0
222,0,4,22,22,102 0 255,0
223,0,4,23,22,102 0 255,0
224,0,4,24,22,102 0 255,0
225,0,4,25,22,102 0 255,0
226,0,4,26,22,102 0 255,3
227,0,4,27,22,102 0 255,9
228,0,4,28,27,255 0 152,9
229,0,4,29,27,255 0 152,3
230,0,4,30,27,255 0 152,0
231,0,4,31,27,255 0 152,0
232,0,4,32,27,255 0 152,0
233,0,4,33,27,255 0 152,0
234,0,4,34,27,255 0 152,0
235,0,4,35,27,255 0 152,0
236,0,4,36,27,255 0 152,0
237,0,4,37,27,255 0 152,3
238,0,4,38,27,255 0 152,9
239,0,4,39,17,0 152 255,9
240,0,4,40,17,0 152 255,3
241,0,4,41,17,0 152 255,0
242,0,4,42,17,0 152 255,0
243,0,4,43,17,0 152 255,3
244,0,4,44,17,0 152 255,12
245,0,4,45,25,255 0 255,6
246,0,4,46,25,255 0 255,0
247,0,4,47,25,255 0 255,0
248,0,4,48,25,255 0 255,9
249,0,4,49,13,0 255 153,9
250,0,5,0,13,0 255 153,0
251,0,5,1,13,0 255 153,0
252,0,5,2,13,0 255 153,8
253,0,5,3,7,153 255 0,10
254,0,5,4,7,153 255 0,1
255,0,5,5,7,153 255 0,0
256,0,5,6,7,153 255 0,0
257,0,5,7,7,153 255 0,0
